,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
284,baconated,36,12,58.33%,0.97,88 275
284,ANC,24,10,58.33%,0.79,85 692
284,Quincy_0v0,60,5,58.33%,1.2,87 446
284,stardream96,24,8,58.33%,0.67,88 136
284,Cat_Cash,24,10,58.33%,0.54,92 459
284,Exirce,24,9,58.33%,0.58,63 418
290,JTdog79,19,15,57.89%,1.05,107 716
290,TopNepNep,19,8,57.89%,1.21,115 744
290,Foxapolooza,19,10,57.89%,0.84,85 880
290,OldSteel_Potato,19,10,57.89%,0.47,48 095
290,Gilhop,38,8,57.89%,1.16,100 276
290,Alexscout22,38,8,57.89%,0.92,117 314
290,Poookerz,19,12,57.89%,1.11,108 915
290,Doc_Veritas,19,10,57.89%,0.21,37 219
290,wimbet,19,10,57.89%,1.53,98 234
290,SgtWilhelms,19,9,57.89%,0.79,70 665
290,mknote,19,13,57.89%,0.53,77 780
290,farlong1,19,9,57.89%,0.84,135 597
302,robzblack99,45,10,57.78%,0.69,63 052
303,madmanthan21,26,9,57.69%,1.08,74 664
303,Jaybyrd1902,26,9,57.69%,0.77,73 230
305,dirt813,59,6,57.63%,0.73,73 620
306,MADxViper13,33,10,57.58%,0.91,70 104
306,M1keybeast6666,33,9,57.58%,0.76,96 908
306,Project_Belgium,33,8,57.58%,0.85,84 947
306,Tairitsu_GL,33,9,57.58%,1.27,93 707
310,_TheThief_,54,8,57.41%,1.13,118 304
311,Pounder001,14,12,57.14%,0.5,82 828
311,_Renown,14,10,57.14%,1.14,99 514
311,Blazen6199,14,10,57.14%,0.36,47 894
311,____ROGUE____,14,10,57.14%,0.5,60 170
311,fight12345678,14,11,57.14%,0.71,70 131
311,Jammer777,14,11,57.14%,0.29,38 412
311,Remasters11,14,11,57.14%,0.64,58 401
311,Chet_Stedman,21,10,57.14%,1.05,86 530
311,Compassghost,14,9,57.14%,0.86,68 887
311,Lego_Party_Australia,42,9,57.14%,0.88,51 490
311,Potato_Killer_,28,9,57.14%,0.64,72 786
311,ReformedGamerXD,14,9,57.14%,2.0,144 617
311,Zwebs,21,11,57.14%,0.38,79 132
311,Cody_The_Destroyer,14,10,57.14%,1.14,94 913
311,lemonjello_1,28,10,57.14%,0.61,69 476
311,EverettWV,14,8,57.14%,1.21,56 063
311,UnRipe,14,9,57.14%,1.21,113 130
311,crap_apple,35,9,57.14%,0.74,48 748
311,Hyperuranion,14,10,57.14%,1.07,141 879
311,EyeDeeTenTango,21,12,57.14%,1.24,84 582
311,EMP_TRIUMPH_2016,21,10,57.14%,0.48,62 960
311,BB63Hawaii,14,9,57.14%,0.79,91 824
311,BISCMARK_1,14,10,57.14%,1.0,94 297
311,t_y_c_h_o_b_r_a_h_e,14,10,57.14%,0.36,102 293
311,anybigpapa94,14,10,57.14%,0.93,83 822
