,Player,Battles,Rank,Win rate,Avg. frags,Avg. damage
119,Cranky999,17,9,64.71%,0.82,91 434
119,Pokestar2,17,8,64.71%,0.82,81 292
119,beijingyemer,17,9,64.71%,0.71,78 831
119,citrical,17,9,64.71%,0.71,105 722
119,DGfubar,17,9,64.71%,1.0,114 459
119,Tsundere__Takao,17,8,64.71%,0.65,66 122
130,fullmetal2012,14,9,64.29%,0.71,82 833
130,metalfest,14,12,64.29%,0.5,54 980
130,battowater,14,10,64.29%,0.14,44 687
130,EMP_TRIUMPH_2016,14,10,64.29%,0.43,72 872
130,mBlatt,14,10,64.29%,0.86,116 349
130,o0Savior0o,14,10,64.29%,1.14,108 628
130,MatthewBunkerRidgway,14,10,64.29%,0.36,123 511
130,AwesomeEwok8,14,18,64.29%,1.21,114 167
130,cwalsh412,28,9,64.29%,0.43,67 851
130,jWARLEY,28,8,64.29%,0.79,77 954
140,Mr_Pacific,25,9,64%,0.56,50 776
140,Redstar2006,25,10,64%,0.96,82 999
142,polarberg,36,7,63.89%,0.94,88 661
142,pr0skis_NA,36,8,63.89%,1.22,104 740
144,noobpwnr,33,9,63.64%,0.52,92 258
144,ChatBonk,22,9,63.64%,0.95,116 526
144,Exirce,22,9,63.64%,0.64,63 723
144,OnociTsalk,22,9,63.64%,0.77,59 229
144,Merc_R_Us,22,8,63.64%,2.05,122 174
149,Dastert,41,5,63.41%,1.1,110 297
150,VF19_Excalibur,30,9,63.33%,1.03,87 365
150,AOD_Styrgis,30,10,63.33%,0.37,51 999
150,DemizedEmpire,30,10,63.33%,0.77,61 482
153,gingernight,19,10,63.16%,0.58,80 219
153,SlowLNF,19,10,63.16%,0.63,72 041
153,Ethan53409,19,9,63.16%,0.63,49 436
153,ARG_MONO,19,10,63.16%,0.74,46 315
157,BartBandyTLB,27,8,62.96%,0.44,73 079
158,bruxo_2019,35,9,62.86%,0.57,48 285
159,soloizt16,16,9,62.5%,1.06,72 147
159,sgsw8099,16,10,62.5%,0.88,76 937
159,Tatical,32,9,62.5%,0.56,78 715
159,Excalibur0_0,16,8,62.5%,0.81,97 084
159,IIwisniaII,32,10,62.5%,0.66,45 478
159,WanderingBread,16,10,62.5%,1.56,116 591
159,BlizzardHero,16,10,62.5%,1.0,95 441
159,Jovan_Otten,16,10,62.5%,0.75,88 701
159,Rngblair6,24,10,62.5%,0.75,55 065
159,CaptainGadriel,16,10,62.5%,0.88,94 301
159,alcande_2017,16,10,62.5%,0.25,60 734
159,cableguy2211,16,9,62.5%,0.75,114 510
159,Sanadaririna,24,8,62.5%,0.58,91 608
159,tienduc_2019,16,10,62.5%,0.5,82 263
159,ma_999,16,12,62.5%,1.12,141 478
159,demonanges,24,9,62.5%,0.75,87 822
175,rpbautis,29,8,62.07%,0.66,73 942
175,AsakuraMiu,29,6,62.07%,1.21,129 397
175,Matheusgs15,29,9,62.07%,0.69,85 981
175,CohenShin,29,9,62.07%,1.21,123 566
179,anndz,21,10,61.9%,0.38,45 206
179,Maverick_1716,21,9,61.9%,1.19,93 963
179,CaptainEx,21,10,61.9%,0.57,100 738
182,FuriousRaccoon,26,8,61.54%,1.08,66 431
182,INVICTO79,26,9,61.54%,1.0,69 498
182,Brujo62,26,9,61.54%,0.77,62 750
185,projectMONster,18,10,61.11%,1.22,105 619
185,skapunky,18,9,61.11%,0.78,61 307
185,TG_Fluellon,18,10,61.11%,0.94,62 965
185,VeryAngryBeaver,18,12,61.11%,0.83,66 582
185,IAmCoop,18,8,61.11%,1.06,106 484
185,CURREN_ST206,18,10,61.11%,0.78,85 660
185,StayFrostyEnterprises,18,11,61.11%,0.44,55 992
185,YAGIYAparadise,18,10,61.11%,0.28,78 150
193,TheProfesionalNoob,23,8,60.87%,1.17,125 105
193,John_the_Impaler,23,9,60.87%,1.13,83 357
193,Bloodjerr,23,8,60.87%,1.3,109 791
193,frank_zf,23,9,60.87%,0.74,79 569
193,SDLTQLWSL,23,10,60.87%,0.61,71 189
198,TH3_ST0RM,56,6,60.71%,1.07,113 161
198,CaIiber,28,7,60.71%,1.04,109 734
198,Friz0,28,9,60.71%,0.36,79 335
201,ace3131,20,10,60%,0.6,51 987
201,______AESTHETIC_BREADBOX,15,10,60%,0.93,96 149
201,Comdt_Lassard,20,10,60%,0.6,91 208
201,Adnen,15,10,60%,1.07,65 108
201,2Real_CaiXuKun,15,9,60%,1.13,129 034
201,AgueroFA1,15,9,60%,0.73,104 626
